changepoint_prior_scale,seasonality_prior_scale,WAPE
0.02,2.5,0.06466848764538595
0.02,5.0,0.0644627189594406
0.02,10.0,0.06457669458050617
0.02,15.0,0.06449139473355514
0.05,2.5,0.06576068733409708
0.05,5.0,0.06623449323824927
0.05,10.0,0.06691650813545182
0.05,15.0,0.06612515360171642
0.1,2.5,0.07192875974908187
0.1,5.0,0.07157300328188532
0.1,10.0,0.07176081960394012
0.1,15.0,0.07169225458468757
0.2,2.5,0.07529594601920332
0.2,5.0,0.07656432298892435
0.2,10.0,0.07538736140470276
0.2,15.0,0.0758908743463109
